n_nests,log_years_avail,entrance_size_cm,cavity_depth_cm,cavity_height_m,tree_diameter_cm,dist_forest_edge_m,tree_species,origin_species
22,2.6390573296152584,6.7,39,3.55,43,0,TremblingAspen,NorthernFlicker
20,2.833213344056216,5.8,14,1.43,32.1,13,TremblingAspen,NorthernFlicker
19,2.772588722239781,7.1,5.4,3.1,29.2,5,TremblingAspen,NorthernFlicker
18,2.70805020110221,5.8,21.5,3.49,30.9,15,TremblingAspen,NotExcavated
17,2.995732273553991,6,26.5,1.85,45,6,TremblingAspen,NorthernFlicker
17,2.833213344056216,6.7,30.5,1.7,30.8,7,TremblingAspen,NorthernFlicker
17,2.6390573296152584,3.5,37.4,1.98,30.6,10,TremblingAspen,NorthernFlicker
16,2.70805020110221,6.2,48,1.85,40.4,2,TremblingAspen,NorthernFlicker
15,2.4849066497880004,6,17,1.22,41.8,0,TremblingAspen,NorthernFlicker
15,2.772588722239781,6.4,25,3.01,33.7,0,TremblingAspen,NorthernFlicker
15,2.70805020110221,5.5,34.5,1.64,43.8,15,TremblingAspen,NorthernFlicker
14,2.6390573296152584,6.5,40,2.4,27.7,0,TremblingAspen,NorthernFlicker
14,2.772588722239781,6.3,30,4.15,35.3,0,TremblingAspen,NorthernFlicker
14,2.6390573296152584,6.1,45,2.93,33.7,2,TremblingAspen,NorthernFlicker
13,2.772588722239781,5.6,37,2.78,39.8,0,TremblingAspen,NorthernFlicker
13,2.5649493574615367,6.1,36,2.8,36.9,14,TremblingAspen,NorthernFlicker
13,2.833213344056216,6,13.5,1.62,36.9,10,TremblingAspen,NorthernFlicker
13,2.70805020110221,6.5,28,1.52,42.1,0,LodgepolePine,NorthernFlicker
13,2.9444389791664403,6.5,34,1.3,27.4,0,TremblingAspen,NorthernFlicker
13,2.8903717578961645,5.2,33.8,1.5,26.9,20,TremblingAspen,NorthernFlicker
12,2.9444389791664403,8.8,35,2.03,40.4,12,TremblingAspen,NorthernFlicker
12,2.4849066497880004,6.4,26,3.56,31.2,5,TremblingAspen,NorthernFlicker
12,2.8903717578961645,5.9,26,3.8,49,0,TremblingAspen,NorthernFlicker
12,2.6390573296152584,7.5,50,6.83,37.9,11,TremblingAspen,NorthernFlicker
12,2.6390573296152584,4.9,46,1.87,25.8,6,TremblingAspen,NorthernFlicker
11,2.6390573296152584,6,39,2.59,31.5,9,TremblingAspen,NorthernFlicker
11,2.4849066497880004,8,36,1.92,53.5,9,TremblingAspen,NorthernFlicker
11,2.302585092994046,3.5,10.5,2.79,26.4,10,TremblingAspen,RedNapedSapsucker
11,2.8903717578961645,6.4,13,4.66,31.8,30,TremblingAspen,NorthernFlicker
11,2.833213344056216,6.2,32.5,2.3,32.5,7,TremblingAspen,NorthernFlicker
11,2.5649493574615367,7.5,25,2,23.7,0,TremblingAspen,NorthernFlicker
11,2.5649493574615367,6,36,3.21,36.6,3,TremblingAspen,NorthernFlicker
11,2.5649493574615367,6,36,3.21,36.6,3,TremblingAspen,NorthernFlicker
11,2.5649493574615367,6.1,32,2.08,57.3,0,TremblingAspen,NorthernFlicker
11,2.4849066497880004,7,38,3.98,34.4,6,TremblingAspen,NorthernFlicker
11,2.5649493574615367,5.9,38,1.72,30.9,12,TremblingAspen,NorthernFlicker
11,2.995732273553991,6,40,2.6,36.6,4,LodgepolePine,NorthernFlicker
11,2.772588722239781,6.6,41,3.26,42,0,TremblingAspen,NorthernFlicker
11,2.5649493574615367,7.6,16,2.33,28.6,0,TremblingAspen,NorthernFlicker
11,2.3978952727983707,6.9,26,4.04,37.2,8,TremblingAspen,NorthernFlicker
10,2.70805020110221,6.8,36,5.54,28.6,40,TremblingAspen,NorthernFlicker
10,2.302585092994046,6,37,3,43.7,0,TremblingAspen,NorthernFlicker
